# dataset: GeoCSV2.0
# created: 2022-08-24 15:32:32 UTC (netCDF_2_GeoCSV.py)
# netCDF_file: KEA20-Moho.r0.0.nc
# delimiter: |
# global_title: Moho depth model for East Asia
# global_id: KEA20_Moho
# global_data_revision: r.0.0
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_keywords: seismic, surface wave, tomography, East Asia, Moho, receiver functions, reflection
# global_acknowledgment: Model was provided by Michael Witek, Department of Geophysics, Kangwon National University
# global_history: 2022-08-24 15:32:32 UTC Converted to GeoCSV by netCDF_2_GeoCSV.py ,v2022.237 from KEA20-Moho.r0.0.nc; 2022-08-22 19:48:38 UTC Converted to netCDF by GeoCSV_2_netCDF.py v2022.230 from KEA20-Moho.r0.0.csv; 2022-08-22 19:46:46 UTC Converted to GeoCSV by netCDF_2_GeoCSV.py ,v2022.230 from KEA20-Moho.r0.0.nc; v1.0.0 created 2021-06-02
# global_summary: Here we provide depths to the Moho boundary in KEA20, relative to a mean Earth radius of 6371 km.; These Moho depths result from an initial inversion of point constraints from teleseismic; receiver function and seismic reflection studies, plus additional Moho perturbations from the; surface wave dispersion data inversion. The reference model Moho is taken from CRUST1.0.  ; For additional information please see the supplementary information of Witek et al. (2021).
# global_reference: ; @article{witek-2021-kea20,; title={Radial anisotropy in East Asia from multimode surface wave tomography},; author={M. Witek and S.-J. Chang and D.Y. Lim and S. Ning and J. Ning},; journal={Journal of Geophysical Research},; year={2021},; volume={},; pages={}; };
# global_reference_pid: 
# global_author_name: M. Witek
# global_author_email: mwitek2@gmail.com
# global_author_institution: Department of Geophysics, Kangwon National University
# global_geospatial_lat_min: 15.0
# global_geospatial_lat_max: 51.0
# global_geospatial_lat_resolution: 0.2
# global_geospatial_lat_units: degrees_north
# global_geospatial_lon_min: 70.0
# global_geospatial_lon_max: 150.0
# global_geospatial_lon_resolution: 0.2
# global_geospatial_lon_units: degrees_east
# global_netcdf_file: KEA20_Moho.nc
# global_repository_name: EMC
# global_repository_institution: IRIS EMC
# global_repository_pid: doi:10.17611/dp/emc.2021.kea20.1
# y_column: latitude
# y_variable: latitude
# y_dimensions: 1
# y_long_name: Latitude; positive north
# y_units: degrees_north
# y_standard_name: latitude
# x_column: longitude
# x_variable: longitude
# x_dimensions: 1
# x_long_name: Longitude; positive east
# x_units: degrees_east
# x_standard_name: longitude
# moho_column: moho
# moho_variable: moho
# moho_dimensions: 2
# moho_variable: moho
# moho_long_name: Moho depth relative to a mean Earth radius of 6371 km
# moho_display_name: Moho depth (km)
# moho_units: km
latitude|longitude|moho
15.0|91.8|14.13
15.0|92.0|14.753
15.0|92.2|15.375
15.0|92.4|15.999
15.0|92.6|17.129
15.0|92.8|18.768
15.0|93.0|20.406
15.0|93.2|22.044
15.0|93.4|23.682
15.0|93.6|25.051
15.0|93.8|26.151
15.0|94.0|27.251
15.0|94.2|28.351
15.0|94.4|29.451
15.0|94.6|30.001
15.0|94.8|30.001
15.0|95.0|30.001
15.0|95.2|30.001
15.0|95.4|30.001
15.0|95.6|30.001
15.0|95.8|30.001
15.0|96.0|30.001
15.0|96.2|30.001
15.0|96.4|30.001
15.0|96.6|30.0
15.0|96.8|29.999
15.0|97.0|29.998
15.0|97.2|29.997
15.0|97.4|29.996
15.0|97.6|30.303
15.0|97.8|30.918
15.0|98.0|31.533
15.0|98.2|32.148
15.0|98.4|32.763
15.0|98.6|33.137
15.0|98.8|33.271
15.0|99.0|33.405
15.0|99.2|33.539
15.0|99.4|33.673
15.0|99.6|33.762
15.0|99.8|33.806
15.0|100.0|33.85
15.0|100.2|33.894
15.0|100.4|33.938
15.0|100.6|33.989
15.0|100.8|34.046
15.0|101.0|34.103
15.0|101.2|34.16
15.0|101.4|34.218
15.0|101.6|34.25
15.0|101.8|34.257
15.0|102.0|34.264
15.0|102.2|34.271
15.0|102.4|34.278
15.0|102.6|34.289
15.0|102.8|34.305
15.0|103.0|34.321
15.0|103.2|34.337
15.0|103.4|34.353
15.0|103.6|34.411
15.0|103.8|34.51
15.0|104.0|34.609
15.0|104.2|34.708
15.0|104.4|34.807
15.0|104.6|34.943
15.0|104.8|35.118
15.0|105.0|35.293
15.0|105.2|35.469
15.0|105.4|35.644
15.0|105.6|35.842
15.0|105.8|36.064
15.0|106.0|36.286
15.0|106.2|36.508
15.0|106.4|36.73
15.0|106.6|36.851
15.0|106.8|36.87
15.0|107.0|36.888
15.0|107.2|36.907
15.0|107.4|36.926
15.0|107.6|36.677
15.0|107.8|36.161
15.0|108.0|35.645
15.0|108.2|35.129
15.0|108.4|34.613
15.0|108.6|33.77
15.0|108.8|32.6
15.0|109.0|31.429
15.0|109.2|30.258
15.0|109.4|29.086
15.0|109.6|28.101
15.0|109.8|27.301
15.0|110.0|26.501
15.0|110.2|25.701
15.0|110.4|24.901
15.0|110.6|24.201
15.0|110.8|23.601
15.0|111.0|23.001
15.0|111.2|22.401
15.0|111.4|21.801
15.0|111.6|20.835
15.0|111.8|19.501
15.0|112.0|18.169
15.0|112.2|16.836
15.0|112.4|15.502
15.0|112.6|14.503
15.0|112.8|13.837
15.0|113.0|13.171
15.0|113.2|12.505
15.0|113.4|11.839
15.0|113.6|11.518
15.0|113.8|11.542
15.0|114.0|11.565
15.0|114.2|11.589
15.0|114.4|11.613
15.0|114.6|11.675
15.0|114.8|11.774
15.0|115.0|11.873
15.0|115.2|11.972
15.0|115.4|12.071
15.0|115.6|12.108
15.0|115.8|12.084
15.0|116.0|12.059
15.0|116.2|12.034
15.0|116.4|12.009
15.0|116.6|11.99
15.0|116.8|11.978
15.0|117.0|11.966
15.0|117.2|11.955
15.0|117.4|11.943
15.0|117.6|11.928
15.0|117.8|11.91
15.0|118.0|11.892
15.0|118.2|11.875
15.0|118.4|11.857
15.0|118.6|12.163
15.0|118.8|12.795
15.0|119.0|13.427
15.0|119.2|14.057
15.0|119.4|14.689
15.0|119.6|16.594
15.0|119.8|19.775
15.0|120.0|22.955
15.0|120.2|26.136
15.0|120.4|29.316
15.0|120.6|30.908
15.0|120.8|30.912
15.0|121.0|30.915
15.0|121.2|30.919
15.0|121.4|30.923
15.0|121.6|29.882
15.0|121.8|27.798
15.0|122.0|25.713
15.0|122.2|23.629
15.0|122.4|21.544
15.0|122.6|20.318
15.0|122.8|19.949
15.0|123.0|19.579
15.0|123.2|19.21
15.0|123.4|18.841
15.0|123.6|17.938
15.0|123.8|16.502
15.0|124.0|15.065
15.0|124.2|13.629
15.0|124.4|12.193
15.0|124.6|11.558
15.0|124.8|11.724
15.0|125.0|11.89
15.0|125.2|12.056
15.0|125.4|12.222
15.0|125.6|12.297
15.0|125.8|12.28
15.0|126.0|12.263
15.0|126.2|12.246
15.0|126.4|12.229
15.0|126.6|12.224
15.0|126.8|12.232
15.0|127.0|12.24
15.0|127.2|12.248
15.0|127.4|12.256
15.0|127.6|12.293
15.0|127.8|12.358
15.0|128.0|12.423
15.0|128.2|12.488
15.0|128.4|12.553
15.0|128.6|12.59
15.0|128.8|12.6
15.0|129.0|12.61
15.0|129.2|12.62
15.0|129.4|12.63
15.0|129.6|12.643
15.0|129.8|12.658
15.0|130.0|12.673
15.0|130.2|12.688
15.0|130.4|12.703
15.0|130.6|12.696
15.0|130.8|12.668
15.0|131.0|12.64
15.0|131.2|12.612
15.0|131.4|12.584
15.0|131.6|12.561
15.0|131.8|12.543
15.0|132.0|12.525
15.0|132.2|12.507
15.0|132.4|12.489
15.0|132.6|12.439
15.0|132.8|12.357
15.0|133.0|12.275
15.0|133.2|12.193
15.0|133.4|12.111
15.0|133.6|11.988
15.0|133.8|11.826
15.0|134.0|11.663
15.0|134.2|11.5
15.0|134.4|11.337
15.0|134.6|11.333
15.0|134.8|11.489
15.0|135.0|11.645
15.0|135.2|11.801
15.0|135.4|11.957
15.0|135.6|12.038
15.0|135.8|12.043
15.0|136.0|12.048
15.0|136.2|12.053
15.0|136.4|12.058
15.0|136.6|12.047
15.0|136.8|12.021
15.0|137.0|11.995
15.0|137.2|11.969
15.0|137.4|11.943
15.0|137.6|11.911
15.0|137.8|11.873
15.0|138.0|11.835
15.0|138.2|11.797
15.0|138.4|11.759
15.0|138.6|11.745
15.0|138.8|11.755
15.0|139.0|11.765
15.0|139.2|11.775
15.0|139.4|11.785
15.0|139.6|11.8
15.0|139.8|11.82
15.0|140.0|11.84
15.0|140.2|11.86
15.0|140.4|11.88
15.0|140.6|11.916
15.0|140.8|11.968
15.0|141.0|12.02
15.0|141.2|12.072
15.0|141.4|12.124
15.0|141.6|12.04
15.0|141.8|11.822
15.0|142.0|11.604
15.0|142.2|11.385
15.0|142.4|11.166
15.0|142.6|10.999
15.0|142.8|10.885
15.0|143.0|10.771
15.0|143.2|10.657
15.0|143.4|10.543
15.0|143.6|10.495
15.0|143.8|10.512
15.0|144.0|10.529
15.0|144.2|10.546
15.0|144.4|10.563
15.0|144.6|10.429
15.0|144.8|10.145
15.0|145.0|9.861
15.0|145.2|9.577
15.0|145.4|9.293
15.0|145.6|9.401
15.0|145.8|9.901
15.0|146.0|10.401
15.0|146.2|10.901
15.0|146.4|11.401
15.0|146.6|11.793
15.0|146.8|12.076
15.0|147.0|12.359
15.0|147.2|12.642
15.0|147.4|12.924
15.0|147.6|12.945
15.0|147.8|12.703
15.0|148.0|12.461
15.0|148.2|12.218
15.0|148.4|11.976
15.0|148.6|11.914
15.0|148.8|12.031
15.0|149.0|12.148
15.0|149.2|12.265
15.0|149.4|12.382
15.0|149.6|12.486
15.0|149.8|12.577
15.0|150.0|12.668
15.2|70.0|11.759
15.2|70.2|11.487
15.2|70.4|11.216
15.2|70.6|10.987
15.2|70.8|10.801
15.2|71.0|10.616
15.2|71.2|10.43
15.2|71.4|10.244
15.2|71.6|11.042
15.2|71.8|12.824
15.2|72.0|14.606
15.2|72.2|16.388
15.2|72.4|18.17
15.2|72.6|20.647
15.2|72.8|23.819
15.2|73.0|26.992
15.2|73.2|30.164
15.2|73.4|33.338
15.2|73.6|35.456
15.2|73.8|36.52
15.2|74.0|37.586
15.2|74.2|38.66
15.2|74.4|39.749
15.2|74.6|40.645
15.2|74.8|41.396
15.2|75.0|42.122
15.2|75.2|42.825
15.2|75.4|43.416
15.2|75.6|43.297
15.2|75.8|42.518
15.2|76.0|41.77
15.2|76.2|41.022
15.2|76.4|40.276
15.2|76.6|39.392
15.2|76.8|38.325
15.2|77.0|37.292
15.2|77.2|36.271
15.2|77.4|35.267
15.2|77.6|34.706
15.2|77.8|34.624
15.2|78.0|34.542
15.2|78.2|34.431
15.2|78.4|34.319
15.2|78.6|34.299
15.2|78.8|34.374
15.2|79.0|34.449
15.2|79.2|34.521
15.2|79.4|34.596
15.2|79.6|34.021
15.2|79.8|32.793
15.2|80.0|31.568
15.2|80.2|30.342
15.2|80.4|29.114
15.2|80.6|27.605
15.2|80.8|25.813
15.2|81.0|24.021
15.2|81.2|22.228
15.2|81.4|20.436
15.2|81.6|19.121
15.2|81.8|18.282
15.2|82.0|17.443
15.2|82.2|16.605
15.2|82.4|15.766
15.2|82.6|15.556
15.2|82.8|15.973
15.2|83.0|16.391
15.2|83.2|16.808
15.2|83.4|17.225
15.2|83.6|17.265
15.2|83.8|16.928
15.2|84.0|16.591
15.2|84.2|16.255
15.2|84.4|15.918
15.2|84.6|15.77
15.2|84.8|15.811
15.2|85.0|15.852
15.2|85.2|15.892
15.2|85.4|15.933
15.2|85.6|16.044
15.2|85.8|16.227
15.2|86.0|16.409
15.2|86.2|16.591
15.2|86.4|16.774
15.2|86.6|16.992
15.2|86.8|17.246
15.2|87.0|17.5
15.2|87.2|17.754
15.2|87.4|18.008
15.2|87.6|18.104
15.2|87.8|18.042
15.2|88.0|17.981
15.2|88.2|17.919
15.2|88.4|17.857
15.2|88.6|17.719
15.2|88.8|17.504
15.2|89.0|17.289
15.2|89.2|17.074
15.2|89.4|16.859
15.2|89.6|16.615
15.2|89.8|16.341
15.2|90.0|16.067
15.2|90.2|15.792
15.2|90.4|15.518
15.2|90.6|15.178
15.2|90.8|14.773
15.2|91.0|14.367
15.2|91.2|13.961
15.2|91.4|13.556
15.2|91.6|13.621
15.2|91.8|14.157
15.2|92.0|14.694
15.2|92.2|15.23
15.2|92.4|15.766
15.2|92.6|16.862
15.2|92.8|18.515
15.2|93.0|20.168
15.2|93.2|21.821
15.2|93.4|23.474
15.2|93.6|24.871
15.2|93.8|26.011
15.2|94.0|27.151
15.2|94.2|28.291
15.2|94.4|29.431
15.2|94.6|30.001
15.2|94.8|30.001
15.2|95.0|30.001
15.2|95.2|30.001
15.2|95.4|30.001
15.2|95.6|30.001
15.2|95.8|30.001
15.2|96.0|30.001
15.2|96.2|30.001
15.2|96.4|30.001
15.2|96.6|30.0
15.2|96.8|29.999
15.2|97.0|29.997
15.2|97.2|29.995
15.2|97.4|29.994
15.2|97.6|30.318
15.2|97.8|30.968
15.2|98.0|31.618
15.2|98.2|32.267
15.2|98.4|32.917
15.2|98.6|33.289
15.2|98.8|33.384
15.2|99.0|33.479
15.2|99.2|33.574
15.2|99.4|33.669
15.2|99.6|33.74
15.2|99.8|33.787
15.2|100.0|33.834
15.2|100.2|33.881
15.2|100.4|33.928
15.2|100.6|34.003
15.2|100.8|34.104
15.2|101.0|34.206
15.2|101.2|34.307
15.2|101.4|34.408
15.2|101.6|34.463
15.2|101.8|34.471
15.2|102.0|34.479
15.2|102.2|34.486
15.2|102.4|34.493
15.2|102.6|34.503
15.2|102.8|34.516
15.2|103.0|34.529
15.2|103.2|34.543
15.2|103.4|34.555
15.2|103.6|34.592
15.2|103.8|34.651
15.2|104.0|34.712
15.2|104.2|34.772
15.2|104.4|34.832
15.2|104.6|34.985
15.2|104.8|35.231
15.2|105.0|35.477
15.2|105.2|35.723
15.2|105.4|35.969
15.2|105.6|36.179
15.2|105.8|36.354
15.2|106.0|36.528
15.2|106.2|36.701
15.2|106.4|36.875
15.2|106.6|36.951
15.2|106.8|36.929
15.2|107.0|36.908
15.2|107.2|36.887
15.2|107.4|36.865
15.2|107.6|36.614
15.2|107.8|36.131
15.2|108.0|35.649
15.2|108.2|35.168
15.2|108.4|34.685
15.2|108.6|33.831
15.2|108.8|32.602
15.2|109.0|31.374
15.2|109.2|30.145
15.2|109.4|28.915
15.2|109.6|27.981
15.2|109.8|27.341
15.2|110.0|26.701
15.2|110.2|26.061
15.2|110.4|25.421
15.2|110.6|24.801
15.2|110.8|24.201
15.2|111.0|23.601
15.2|111.2|23.001
15.2|111.4|22.401
15.2|111.6|21.541
15.2|111.8|20.421
15.2|112.0|19.302
15.2|112.2|18.182
15.2|112.4|17.062
15.2|112.6|16.003
15.2|112.8|15.005
15.2|113.0|14.007
15.2|113.2|13.009
15.2|113.4|12.011
15.2|113.6|11.501
15.2|113.8|11.48
15.2|114.0|11.458
15.2|114.2|11.436
15.2|114.4|11.415
15.2|114.6|11.478
15.2|114.8|11.625
15.2|115.0|11.773
15.2|115.2|11.92
15.2|115.4|12.067
15.2|115.6|12.122
15.2|115.8|12.085
15.2|116.0|12.048
15.2|116.2|12.01
15.2|116.4|11.973
15.2|116.6|11.943
15.2|116.8|11.923
15.2|117.0|11.901
15.2|117.2|11.879
15.2|117.4|11.858
15.2|117.6|11.839
15.2|117.8|11.822
15.2|118.0|11.805
15.2|118.2|11.788
15.2|118.4|11.772
15.2|118.6|12.167
15.2|118.8|12.975
15.2|119.0|13.785
15.2|119.2|14.593
15.2|119.4|15.401
15.2|119.6|17.352
15.2|119.8|20.444
15.2|120.0|23.537
15.2|120.2|26.629
15.2|120.4|29.721
15.2|120.6|31.196
15.2|120.8|31.055
15.2|121.0|30.913
15.2|121.2|30.77
15.2|121.4|30.629
15.2|121.6|29.252
15.2|121.8|26.64
15.2|122.0|24.03
15.2|122.2|21.419
15.2|122.4|18.807
15.2|122.6|17.284
15.2|122.8|16.847
15.2|123.0|16.41
15.2|123.2|15.973
15.2|123.4|15.536
15.2|123.6|14.913
15.2|123.8|14.102
15.2|124.0|13.291
15.2|124.2|12.481
15.2|124.4|11.67
15.2|124.6|11.34
15.2|124.8|11.489
15.2|125.0|11.638
15.2|125.2|11.787
15.2|125.4|11.936
15.2|125.6|12.03
15.2|125.8|12.069
15.2|126.0|12.108
15.2|126.2|12.146
15.2|126.4|12.185
15.2|126.6|12.206
15.2|126.8|12.21
15.2|127.0|12.214
15.2|127.2|12.218
15.2|127.4|12.222
15.2|127.6|12.258
15.2|127.8|12.327
15.2|128.0|12.396
15.2|128.2|12.464
15.2|128.4|12.533
15.2|128.6|12.572
15.2|128.8|12.582
15.2|129.0|12.592
15.2|129.2|12.602
15.2|129.4|12.612
15.2|129.6|12.623
15.2|129.8|12.635
15.2|130.0|12.648
15.2|130.2|12.66
15.2|130.4|12.672
15.2|130.6|12.664
15.2|130.8|12.635
15.2|131.0|12.606
15.2|131.2|12.577
15.2|131.4|12.548
15.2|131.6|12.528
15.2|131.8|12.517
15.2|132.0|12.505
15.2|132.2|12.493
15.2|132.4|12.482
15.2|132.6|12.44
15.2|132.8|12.367
15.2|133.0|12.295
15.2|133.2|12.223
15.2|133.4|12.15
15.2|133.6|12.031
15.2|133.8|11.864
15.2|134.0|11.698
15.2|134.2|11.531
15.2|134.4|11.364
15.2|134.6|11.358
15.2|134.8|11.513
15.2|135.0|11.667
15.2|135.2|11.821
15.2|135.4|11.976
15.2|135.6|12.054
15.2|135.8|12.056
15.2|136.0|12.059
15.2|136.2|12.061
15.2|136.4|12.063
15.2|136.6|12.049
15.2|136.8|12.019
15.2|137.0|11.989
15.2|137.2|11.959
15.2|137.4|11.929
15.2|137.6|11.897
15.2|137.8|11.863
15.2|138.0|11.829
15.2|138.2|11.795
15.2|138.4|11.761
15.2|138.6|11.751
15.2|138.8|11.766
15.2|139.0|11.781
15.2|139.2|11.796
15.2|139.4|11.811
15.2|139.6|11.825
15.2|139.8|11.84
15.2|140.0|11.854
15.2|140.2|11.868
15.2|140.4|11.883
15.2|140.6|11.895
15.2|140.8|11.906
15.2|141.0|11.917
15.2|141.2|11.927
15.2|141.4|11.938
15.2|141.6|11.88
15.2|141.8|11.756
15.2|142.0|11.631
15.2|142.2|11.506
15.2|142.4|11.381
15.2|142.6|11.23
15.2|142.8|11.055
15.2|143.0|10.879
15.2|143.2|10.703
15.2|143.4|10.528
15.2|143.6|10.466
15.2|143.8|10.517
15.2|144.0|10.568
15.2|144.2|10.619
15.2|144.4|10.67
15.2|144.6|10.539
15.2|144.8|10.226
15.2|145.0|9.913
15.2|145.2|9.6
15.2|145.4|9.287
15.2|145.6|9.364
15.2|145.8|9.829
15.2|146.0|10.295
15.2|146.2|10.761
15.2|146.4|11.226
15.2|146.6|11.609
15.2|146.8|11.908
15.2|147.0|12.208
15.2|147.2|12.507
15.2|147.4|12.806
15.2|147.6|12.829
15.2|147.8|12.574
15.2|148.0|12.319
15.2|148.2|12.064
15.2|148.4|11.809
15.2|148.6|11.748
15.2|148.8|11.882
15.2|149.0|12.017
15.2|149.2|12.151
15.2|149.4|12.285
15.2|149.6|12.407
15.2|149.8|12.516
15.2|150.0|12.625
15.4|70.0|11.833
15.4|70.2|11.532
15.4|70.4|11.231
15.4|70.6|10.99
15.4|70.8|10.809
15.4|71.0|10.629
15.4|71.2|10.448
15.4|71.4|10.267
15.4|71.6|11.088
15.4|71.8|12.91
15.4|72.0|14.732
15.4|72.2|16.554
15.4|72.4|18.376
15.4|72.6|21.119
15.4|72.8|24.783
15.4|73.0|28.448
15.4|73.2|32.113
15.4|73.4|35.779
15.4|73.6|37.892
15.4|73.8|38.45
15.4|74.0|39.018
15.4|74.2|39.591
15.4|74.4|40.17
15.4|74.6|40.925
15.4|74.8|41.813
15.4|75.0|42.642
15.4|75.2|43.317
15.4|75.4|43.994
15.4|75.6|43.856
15.4|75.8|42.935
15.4|76.0|42.023
15.4|76.2|41.115
15.4|76.4|40.21
15.4|76.6|39.23
15.4|76.8|38.184
15.4|77.0|37.138
15.4|77.2|36.093
15.4|77.4|35.06
15.4|77.6|34.477
15.4|77.8|34.34
15.4|78.0|34.206
15.4|78.2|34.071
15.4|78.4|33.933
15.4|78.6|33.92
15.4|78.8|34.035
15.4|79.0|34.147
15.4|79.2|34.258
15.4|79.4|34.371
15.4|79.6|33.933
15.4|79.8|32.947
15.4|80.0|31.963
15.4|80.2|30.978
15.4|80.4|29.993
15.4|80.6|28.601
15.4|80.8|26.805
15.4|81.0|25.008
15.4|81.2|23.21
15.4|81.4|21.413
15.4|81.6|19.944
15.4|81.8|18.803
15.4|82.0|17.662
15.4|82.2|16.521
15.4|82.4|15.38
15.4|82.6|15.05
15.4|82.8|15.529
15.4|83.0|16.008
15.4|83.2|16.487
15.4|83.4|16.966
15.4|83.6|17.078
15.4|83.8|16.823
15.4|84.0|16.568
15.4|84.2|16.313
15.4|84.4|16.058
15.4|84.6|15.93
15.4|84.8|15.93
15.4|85.0|15.931
15.4|85.2|15.931
15.4|85.4|15.931
15.4|85.6|16.021
15.4|85.8|16.202
15.4|86.0|16.383
15.4|86.2|16.564
15.4|86.4|16.745
15.4|86.6|16.942
15.4|86.8|17.156
15.4|87.0|17.37
15.4|87.2|17.584
15.4|87.4|17.798
15.4|87.6|17.895
15.4|87.8|17.874
15.4|88.0|17.854
15.4|88.2|17.833
15.4|88.4|17.812
15.4|88.6|17.694
15.4|88.8|17.479
15.4|89.0|17.263
15.4|89.2|17.047
15.4|89.4|16.832
15.4|89.6|16.606
15.4|89.8|16.371
15.4|90.0|16.136
15.4|90.2|15.9
15.4|90.4|15.665
15.4|90.6|15.343
15.4|90.8|14.936
15.4|91.0|14.529
15.4|91.2|14.122
15.4|91.4|13.715
15.4|91.6|13.736
15.4|91.8|14.185
15.4|92.0|14.636
15.4|92.2|15.085
15.4|92.4|15.534
15.4|92.6|16.593
15.4|92.8|18.262
15.4|93.0|19.93
15.4|93.2|21.598
15.4|93.4|23.267
15.4|93.6|24.691
15.4|93.8|25.871
15.4|94.0|27.051
15.4|94.2|28.231
15.4|94.4|29.411
15.4|94.6|30.001
15.4|94.8|30.002
15.4|95.0|30.002
15.4|95.2|30.002
15.4|95.4|30.002
15.4|95.6|30.002
15.4|95.8|30.002
15.4|96.0|30.001
15.4|96.2|30.001
15.4|96.4|30.001
15.4|96.6|30.0
15.4|96.8|29.998
15.4|97.0|29.997
15.4|97.2|29.994
15.4|97.4|29.992
15.4|97.6|30.333
15.4|97.8|31.018
15.4|98.0|31.703
15.4|98.2|32.387
15.4|98.4|33.072
15.4|98.6|33.442
15.4|98.8|33.497
15.4|99.0|33.553
