# dataset: GeoCSV2.0
# created: 2018-10-25 19:26:04 UTC (netCDF_2_GeoCSV_2D.py)
# netCDF_file: Crustal_Thickness_Error.nc
# delimiter: |
# global_title: Crustal thickness values within the western United States derived from receiver function observations
# global_id: Crustal_Thickness_Error
# global_summary: crustal thicknesses for the Western United States
# global_keywords: crust , Receiver function , IRIS EMC , CCP , Gilbert , thickness , Earth model , error
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_creator_name: IRIS EMC
# global_creator_url: http://www.iris.edu/dms/products/emc/
# global_creator_email: product@iris.edu
# global_institution: IRIS DMC
# global_acknowledgment: Model was provided by Hersh Gilbert,  Purdue University
# global_references: Crustal thicknesses for the Western United States, Gilbert (2012)
# global_history: 2015-11-09 created 2016-08-11 IRID DMC, updated variable definitions to make sure they are compatible with CF
# global_comment: model converted to netCDF by IRIS EMC
# global_geospatial_lat_min: 30.7
# global_geospatial_lat_max: 50.2
# global_geospatial_lat_units: degrees_north
# global_geospatial_lat_resolution: 0.1
# global_geospatial_lon_min: -125.0
# global_geospatial_lon_max: -101.0
# global_geospatial_lon_units: degrees_east
# global_geospatial_lon_resolution: 0.53
# latitude_column: latitude
# latitude_long_name: Latitude; positive north
# latitude_units: degrees_north
# latitude_standard_name: latitude
# longitude_column: longitude
# longitude_long_name: Longitude; positive east
# longitude_units: degrees_east
# longitude_standard_name: longitude
# thickness_column: thickness
# thickness_long_name: crustal thickness
# thickness_display_name: crustal thickness in km
# thickness_units: kilometer
# thickness_missing_value: nan
# thickness__FillValue: nan
# error_column: error
# error_long_name: crustal thickness error
# error_display_name: crustal thickness error in km
# error_units: kilometer
# error_missing_value: nan
# error__FillValue: nan
latitude|longitude|thickness|error
31.52|-111.11|26.0|1.0
31.52|-110.58|27.0|1.0
31.52|-110.05|29.0|1.0
31.52|-109.53|29.0|1.0
31.52|-109.0|29.0|0.0
31.52|-108.47|29.0|1.0
31.52|-107.94|30.0|1.0
31.52|-107.41|30.0|1.0
31.52|-106.88|32.0|1.0
31.52|-106.35|33.0|1.0
31.52|-105.83|30.0|1.0
31.52|-105.3|44.0|1.0
31.52|-104.77|44.0|1.0
31.52|-104.24|44.0|1.0
31.52|-103.71|43.0|1.0
31.52|-103.18|39.0|1.0
31.52|-102.65|41.0|1.0
31.52|-102.13|44.0|1.0
31.52|-101.6|41.0|1.0
31.92|-124.86|nan|nan
31.92|-124.33|nan|nan
31.92|-123.8|nan|nan
31.92|-123.27|nan|nan
31.92|-122.74|nan|nan
31.92|-122.21|nan|nan
31.92|-121.68|nan|nan
31.92|-121.15|nan|nan
31.92|-120.63|nan|nan
31.92|-120.1|nan|nan
31.92|-119.57|nan|nan
31.92|-119.04|nan|nan
31.92|-118.51|nan|nan
31.92|-117.98|nan|nan
31.92|-117.45|25.0|1.0
31.92|-116.93|26.0|1.0
31.92|-116.4|28.0|1.0
31.92|-115.87|29.0|1.0
31.92|-115.34|29.0|1.0
31.92|-114.81|25.0|1.0
31.92|-114.28|25.0|1.0
31.92|-113.75|26.0|1.0
31.92|-113.23|27.0|1.0
31.92|-112.7|27.0|1.0
31.92|-112.17|26.0|1.0
31.92|-111.64|29.0|1.0
31.92|-111.11|28.0|0.0
31.92|-110.58|27.0|1.0
31.92|-110.05|nan|nan
31.92|-109.53|nan|nan
31.92|-109.0|29.0|1.0
31.92|-108.47|29.0|1.0
31.92|-107.94|nan|nan
31.92|-107.41|32.0|1.0
31.92|-106.88|32.0|1.0
31.92|-106.35|32.0|1.0
31.92|-105.83|31.0|1.0
31.92|-105.3|43.0|1.0
31.92|-104.77|43.0|1.0
31.92|-104.24|42.5|0.5
31.92|-103.71|44.0|1.0
31.92|-103.18|45.0|2.0
31.92|-102.65|39.0|1.0
31.92|-102.13|42.0|1.0
31.92|-101.6|41.0|1.0
32.33|-124.86|nan|nan
32.33|-124.33|nan|nan
32.33|-123.8|nan|nan
32.33|-123.27|nan|nan
32.33|-122.74|nan|nan
32.33|-122.21|nan|nan
32.33|-121.68|nan|nan
32.33|-121.15|nan|nan
32.33|-120.63|nan|nan
32.33|-120.1|nan|nan
32.33|-119.57|nan|nan
32.33|-119.04|nan|nan
32.33|-118.51|nan|nan
32.33|-117.98|24.0|1.0
32.33|-117.45|25.0|2.0
32.33|-116.93|nan|nan
32.33|-116.4|nan|nan
32.33|-115.87|29.0|1.0
32.33|-115.34|26.0|2.0
32.33|-114.81|25.0|1.0
32.33|-114.28|25.0|1.0
32.33|-113.75|26.0|1.0
32.33|-113.23|26.0|1.0
32.33|-112.7|27.0|1.0
32.33|-112.17|27.0|1.0
32.33|-111.64|29.0|1.0
32.33|-111.11|29.0|1.0
32.33|-110.58|28.0|1.0
32.33|-110.05|nan|nan
32.33|-109.53|nan|nan
32.33|-109.0|28.0|1.0
32.33|-108.47|nan|nan
32.33|-107.94|nan|nan
32.33|-107.41|33.0|1.0
32.33|-106.88|32.0|1.0
32.33|-106.35|32.0|1.0
32.33|-105.83|nan|nan
32.33|-105.3|nan|nan
32.33|-104.77|nan|nan
32.33|-104.24|40.0|1.0
32.33|-103.71|39.5|1.5
32.33|-103.18|45.0|1.0
32.33|-102.65|42.0|1.0
32.33|-102.13|43.0|1.0
32.33|-101.6|45.0|1.0
32.73|-124.86|nan|nan
32.73|-124.33|nan|nan
32.73|-123.8|nan|nan
32.73|-123.27|nan|nan
32.73|-122.74|nan|nan
32.73|-122.21|nan|nan
32.73|-121.68|nan|nan
32.73|-121.15|nan|nan
32.73|-120.63|nan|nan
32.73|-120.1|nan|nan
32.73|-119.57|17.0|1.0
32.73|-119.04|17.0|1.0
32.73|-118.51|17.0|1.0
32.73|-117.98|23.0|3.0
32.73|-117.45|25.0|1.0
32.73|-116.93|36.0|1.0
32.73|-116.4|38.0|2.0
32.73|-115.87|29.0|1.0
32.73|-115.34|25.0|1.0
32.73|-114.81|25.0|1.0
32.73|-114.28|25.0|0.0
32.73|-113.75|26.0|0.0
32.73|-113.23|26.0|0.0
32.73|-112.7|29.0|1.0
32.73|-112.17|29.0|1.0
32.73|-111.64|28.0|1.0
32.73|-111.11|27.0|1.0
32.73|-110.58|29.0|1.0
32.73|-110.05|30.0|1.0
32.73|-109.53|30.0|1.0
32.73|-109.0|33.0|1.0
32.73|-108.47|33.0|1.0
32.73|-107.94|33.0|1.0
32.73|-107.41|34.0|1.0
32.73|-106.88|33.0|1.0
32.73|-106.35|32.5|1.5
32.73|-105.83|31.0|1.0
32.73|-105.3|31.0|1.0
32.73|-104.77|40.0|1.0
32.73|-104.24|38.0|1.0
32.73|-103.71|39.0|1.0
32.73|-103.18|49.0|1.0
32.73|-102.65|49.0|1.0
32.73|-102.13|51.5|1.5
32.73|-101.6|48.5|1.5
33.14|-124.86|nan|nan
33.14|-124.33|nan|nan
33.14|-123.8|nan|nan
33.14|-123.27|nan|nan
33.14|-122.74|nan|nan
33.14|-122.21|nan|nan
33.14|-121.68|nan|nan
33.14|-121.15|nan|nan
33.14|-120.63|nan|nan
33.14|-120.1|nan|nan
33.14|-119.57|17.0|1.0
33.14|-119.04|17.0|1.0
33.14|-118.51|18.0|1.0
33.14|-117.98|17.0|1.0
33.14|-117.45|26.0|3.0
33.14|-116.93|36.0|2.0
33.14|-116.4|35.0|1.0
33.14|-115.87|26.0|2.0
33.14|-115.34|22.0|1.0
33.14|-114.81|24.0|0.0
33.14|-114.28|24.0|0.0
33.14|-113.75|27.0|0.0
33.14|-113.23|27.0|1.0
33.14|-112.7|28.0|1.0
33.14|-112.17|28.0|1.0
33.14|-111.64|28.0|0.0
33.14|-111.11|27.0|1.0
33.14|-110.58|29.0|1.0
33.14|-110.05|31.0|1.0
33.14|-109.53|31.0|1.0
33.14|-109.0|34.0|1.0
33.14|-108.47|35.0|1.0
33.14|-107.94|36.0|1.0
33.14|-107.41|35.0|1.0
33.14|-106.88|35.5|0.5
33.14|-106.35|36.0|1.0
33.14|-105.83|42.0|2.0
33.14|-105.3|53.0|1.0
33.14|-104.77|49.0|1.0
33.14|-104.24|39.0|1.0
33.14|-103.71|42.0|1.0
33.14|-103.18|49.0|1.0
33.14|-102.65|49.0|1.0
33.14|-102.13|50.0|2.0
33.14|-101.6|49.0|1.0
33.54|-124.86|nan|nan
33.54|-124.33|nan|nan
33.54|-123.8|nan|nan
33.54|-123.27|nan|nan
33.54|-122.74|nan|nan
33.54|-122.21|nan|nan
33.54|-121.68|nan|nan
33.54|-121.15|nan|nan
33.54|-120.63|21.0|1.0
33.54|-120.1|21.0|1.0
33.54|-119.57|21.0|1.0
33.54|-119.04|19.0|1.0
33.54|-118.51|18.0|1.0
33.54|-117.98|19.0|1.0
33.54|-117.45|33.0|1.0
33.54|-116.93|35.0|1.0
33.54|-116.4|32.0|1.0
33.54|-115.87|28.0|1.0
33.54|-115.34|27.0|1.0
33.54|-114.81|24.0|0.0
33.54|-114.28|25.0|1.0
33.54|-113.75|28.0|1.0
33.54|-113.23|29.0|0.0
33.54|-112.7|28.0|1.0
33.54|-112.17|27.0|1.0
33.54|-111.64|27.0|1.0
33.54|-111.11|26.0|1.0
33.54|-110.58|33.0|1.0
33.54|-110.05|34.0|1.0
33.54|-109.53|34.0|1.0
33.54|-109.0|37.0|1.0
33.54|-108.47|38.0|1.0
33.54|-107.94|37.0|1.0
33.54|-107.41|37.0|1.0
33.54|-106.88|36.0|1.0
33.54|-106.35|36.0|1.0
33.54|-105.83|43.0|1.0
33.54|-105.3|48.0|1.0
33.54|-104.77|50.0|1.0
33.54|-104.24|44.0|2.0
33.54|-103.71|44.0|1.0
33.54|-103.18|45.0|1.0
33.54|-102.65|44.0|1.0
33.54|-102.13|47.0|2.0
33.54|-101.6|47.0|2.0
33.95|-124.86|nan|nan
33.95|-124.33|nan|nan
33.95|-123.8|nan|nan
33.95|-123.27|nan|nan
33.95|-122.74|nan|nan
33.95|-122.21|nan|nan
33.95|-121.68|nan|nan
33.95|-121.15|nan|nan
33.95|-120.63|22.0|1.0
33.95|-120.1|21.0|1.0
33.95|-119.57|27.0|4.0
33.95|-119.04|nan|nan
33.95|-118.51|20.0|1.0
33.95|-117.98|19.0|1.0
33.95|-117.45|34.0|1.0
33.95|-116.93|35.0|1.0
33.95|-116.4|32.0|1.0
33.95|-115.87|29.0|0.0
33.95|-115.34|28.0|1.0
33.95|-114.81|29.0|1.0
33.95|-114.28|29.0|0.0
33.95|-113.75|29.0|1.0
33.95|-113.23|30.0|1.0
33.95|-112.7|29.0|1.0
33.95|-112.17|30.0|1.0
33.95|-111.64|31.0|0.0
33.95|-111.11|30.0|1.0
33.95|-110.58|31.0|1.0
33.95|-110.05|36.0|1.0
33.95|-109.53|37.0|1.0
33.95|-109.0|37.0|1.0
33.95|-108.47|39.0|1.0
33.95|-107.94|39.0|1.0
33.95|-107.41|39.0|1.0
33.95|-106.88|32.0|1.0
33.95|-106.35|32.0|1.0
33.95|-105.83|42.0|1.0
33.95|-105.3|45.0|1.0
33.95|-104.77|53.0|1.0
33.95|-104.24|53.0|1.0
33.95|-103.71|nan|nan
33.95|-103.18|44.0|3.0
33.95|-102.65|45.0|1.0
33.95|-102.13|45.0|1.0
33.95|-101.6|45.0|1.0
34.35|-124.86|nan|nan
34.35|-124.33|nan|nan
34.35|-123.8|nan|nan
34.35|-123.27|nan|nan
34.35|-122.74|nan|nan
34.35|-122.21|nan|nan
34.35|-121.68|nan|nan
34.35|-121.15|nan|nan
34.35|-120.63|27.0|2.0
34.35|-120.1|26.0|1.0
34.35|-119.57|28.0|1.0
34.35|-119.04|21.0|2.0
34.35|-118.51|22.0|1.0
34.35|-117.98|24.0|1.0
34.35|-117.45|34.0|1.0
34.35|-116.93|38.0|1.0
34.35|-116.4|37.0|1.0
34.35|-115.87|29.0|1.0
34.35|-115.34|29.0|0.0
34.35|-114.81|28.0|1.0
34.35|-114.28|28.0|1.0
34.35|-113.75|29.0|1.0
34.35|-113.23|29.0|1.0
34.35|-112.7|30.0|0.0
34.35|-112.17|36.0|1.0
34.35|-111.64|32.0|1.0
34.35|-111.11|32.0|1.0
34.35|-110.58|44.0|1.0
34.35|-110.05|41.0|1.0
34.35|-109.53|39.0|3.0
34.35|-109.0|42.0|1.0
34.35|-108.47|39.0|1.0
34.35|-107.94|39.0|1.0
34.35|-107.41|38.0|1.0
34.35|-106.88|32.0|1.0
34.35|-106.35|38.0|1.0
34.35|-105.83|40.0|1.0
34.35|-105.3|45.0|1.0
34.35|-104.77|53.0|1.0
34.35|-104.24|51.0|1.0
34.35|-103.71|41.0|1.0
34.35|-103.18|43.0|3.0
34.35|-102.65|45.0|1.0
34.35|-102.13|45.0|1.0
34.35|-101.6|44.0|1.0
34.76|-124.86|nan|nan
34.76|-124.33|nan|nan
34.76|-123.8|nan|nan
34.76|-123.27|nan|nan
34.76|-122.74|nan|nan
34.76|-122.21|nan|nan
34.76|-121.68|nan|nan
34.76|-121.15|19.0|1.0
34.76|-120.63|25.0|1.0
34.76|-120.1|27.0|1.0
34.76|-119.57|27.0|1.0
34.76|-119.04|26.0|2.0
34.76|-118.51|28.0|1.0
34.76|-117.98|27.0|1.0
34.76|-117.45|35.0|1.0
34.76|-116.93|36.0|1.0
34.76|-116.4|35.0|1.0
34.76|-115.87|nan|nan
34.76|-115.34|27.0|1.0
34.76|-114.81|27.0|1.0
34.76|-114.28|28.0|0.0
34.76|-113.75|28.0|1.0
34.76|-113.23|28.0|1.0
34.76|-112.7|31.0|1.0
34.76|-112.17|37.0|0.0
34.76|-111.64|37.0|1.0
34.76|-111.11|38.0|2.0
34.76|-110.58|44.0|1.0
34.76|-110.05|41.0|1.0
34.76|-109.53|41.0|1.0
34.76|-109.0|42.5|0.5
34.76|-108.47|43.0|1.0
34.76|-107.94|40.0|4.0
34.76|-107.41|nan|nan
34.76|-106.88|38.0|1.0
34.76|-106.35|38.0|1.0
34.76|-105.83|38.0|1.0
34.76|-105.3|44.0|1.0
34.76|-104.77|44.0|1.0
34.76|-104.24|41.0|2.0
34.76|-103.71|43.5|0.5
34.76|-103.18|44.0|1.0
34.76|-102.65|44.0|1.0
34.76|-102.13|43.0|2.0
34.76|-101.6|43.0|1.0
35.16|-124.86|nan|nan
35.16|-124.33|nan|nan
35.16|-123.8|nan|nan
35.16|-123.27|nan|nan
35.16|-122.74|nan|nan
35.16|-122.21|nan|nan
35.16|-121.68|21.0|0.0
35.16|-121.15|20.0|1.0
35.16|-120.63|19.0|1.0
35.16|-120.1|27.0|1.0
35.16|-119.57|28.0|1.0
35.16|-119.04|nan|nan
35.16|-118.51|29.0|1.0
35.16|-117.98|29.0|1.0
35.16|-117.45|29.0|1.0
35.16|-116.93|34.0|1.0
35.16|-116.4|31.0|1.0
35.16|-115.87|29.0|1.0
35.16|-115.34|27.0|0.0
35.16|-114.81|25.0|3.0
35.16|-114.28|28.0|1.0
35.16|-113.75|30.0|1.0
35.16|-113.23|32.0|1.0
35.16|-112.7|36.0|1.0
35.16|-112.17|43.0|1.0
35.16|-111.64|46.0|1.0
35.16|-111.11|49.0|1.0
35.16|-110.58|30.0|1.0
35.16|-110.05|35.0|1.0
35.16|-109.53|40.0|1.0
35.16|-109.0|42.0|1.0
35.16|-108.47|39.0|1.0
35.16|-107.94|38.0|1.0
35.16|-107.41|40.0|1.0
35.16|-106.88|39.0|1.0
35.16|-106.35|37.0|1.0
35.16|-105.83|38.0|1.0
35.16|-105.3|44.0|1.0
35.16|-104.77|44.0|1.0
35.16|-104.24|44.0|1.0
35.16|-103.71|42.0|1.0
35.16|-103.18|43.0|1.0
35.16|-102.65|45.0|1.0
35.16|-102.13|47.0|1.0
35.16|-101.6|43.0|1.0
35.57|-124.86|nan|nan
35.57|-124.33|nan|nan
35.57|-123.8|nan|nan
35.57|-123.27|nan|nan
35.57|-122.74|nan|nan
35.57|-122.21|nan|nan
35.57|-121.68|21.0|1.0
35.57|-121.15|21.0|0.0
35.57|-120.63|20.0|1.0
35.57|-120.1|18.0|1.0
35.57|-119.57|27.0|1.0
35.57|-119.04|40.0|1.0
35.57|-118.51|40.0|1.0
35.57|-117.98|37.0|2.0
35.57|-117.45|31.0|1.0
35.57|-116.93|31.0|1.0
35.57|-116.4|30.0|1.0
35.57|-115.87|29.0|1.0
35.57|-115.34|29.0|1.0
35.57|-114.81|33.0|1.0
35.57|-114.28|34.0|1.0
35.57|-113.75|30.0|1.0
35.57|-113.23|36.0|1.0
35.57|-112.7|36.0|1.0
35.57|-112.17|43.0|1.0
35.57|-111.64|42.0|2.0
35.57|-111.11|51.0|1.0
35.57|-110.58|50.0|1.0
35.57|-110.05|42.0|1.0
35.57|-109.53|41.0|1.0
35.57|-109.0|42.0|1.0
35.57|-108.47|38.0|1.0
35.57|-107.94|42.0|2.0
35.57|-107.41|42.0|1.0
35.57|-106.88|41.0|1.0
35.57|-106.35|37.0|1.0
35.57|-105.83|43.0|1.0
35.57|-105.3|46.0|1.0
35.57|-104.77|46.0|1.0
35.57|-104.24|43.0|1.0
35.57|-103.71|42.0|1.0
35.57|-103.18|42.0|1.0
35.57|-102.65|45.0|1.0
35.57|-102.13|48.0|1.0
35.57|-101.6|47.0|1.0
35.97|-124.86|nan|nan
35.97|-124.33|nan|nan
35.97|-123.8|nan|nan
35.97|-123.27|nan|nan
35.97|-122.74|nan|nan
35.97|-122.21|21.5|0.5
35.97|-121.68|22.0|1.0
35.97|-121.15|21.0|1.0
35.97|-120.63|23.0|1.0
35.97|-120.1|23.0|1.0
35.97|-119.57|25.0|1.0
35.97|-119.04|43.0|2.0
35.97|-118.51|40.0|1.0
35.97|-117.98|39.0|1.0
35.97|-117.45|32.0|1.0
35.97|-116.93|31.0|1.0
35.97|-116.4|31.0|1.0
35.97|-115.87|30.0|0.0
35.97|-115.34|32.0|1.0
35.97|-114.81|32.0|0.0
35.97|-114.28|31.0|0.0
35.97|-113.75|33.0|1.0
35.97|-113.23|36.0|1.0
35.97|-112.7|36.0|1.0
35.97|-112.17|43.0|1.0
35.97|-111.64|41.0|1.0
35.97|-111.11|52.0|1.0
35.97|-110.58|50.0|1.0
35.97|-110.05|46.0|1.0
35.97|-109.53|46.0|1.0
35.97|-109.0|39.0|1.0
35.97|-108.47|42.0|1.0
35.97|-107.94|44.0|1.0
35.97|-107.41|43.0|1.0
35.97|-106.88|41.0|1.0
35.97|-106.35|39.0|1.0
35.97|-105.83|44.0|3.0
35.97|-105.3|47.0|1.0
35.97|-104.77|47.0|1.0
35.97|-104.24|45.0|2.0
35.97|-103.71|42.0|1.0
35.97|-103.18|42.0|1.0
35.97|-102.65|47.0|1.0
35.97|-102.13|48.0|1.0
35.97|-101.6|48.0|1.0
36.38|-124.86|nan|nan
36.38|-124.33|nan|nan
36.38|-123.8|nan|nan
36.38|-123.27|nan|nan
36.38|-122.74|21.0|1.0
36.38|-122.21|22.0|0.0
36.38|-121.68|21.0|1.0
36.38|-121.15|21.0|1.0
36.38|-120.63|25.0|1.0
36.38|-120.1|25.0|1.0
36.38|-119.57|nan|nan
36.38|-119.04|32.0|1.0
36.38|-118.51|41.0|1.0
36.38|-117.98|36.0|1.0
36.38|-117.45|32.0|1.0
36.38|-116.93|32.0|1.0
36.38|-116.4|34.0|1.0
36.38|-115.87|31.0|1.0
36.38|-115.34|33.0|1.0
36.38|-114.81|31.0|1.0
36.38|-114.28|30.0|1.0
36.38|-113.75|35.0|1.0
36.38|-113.23|42.0|1.0
36.38|-112.7|42.0|1.0
36.38|-112.17|47.0|1.0
36.38|-111.64|45.0|1.0
36.38|-111.11|51.0|2.0
36.38|-110.58|50.0|1.0
36.38|-110.05|48.0|1.0
36.38|-109.53|48.0|1.0
36.38|-109.0|41.0|1.0
36.38|-108.47|44.0|1.0
36.38|-107.94|44.0|1.0
36.38|-107.41|45.0|1.0
36.38|-106.88|45.0|1.0
36.38|-106.35|44.0|1.0
36.38|-105.83|40.0|1.0
36.38|-105.3|44.0|1.0
36.38|-104.77|45.0|1.0
36.38|-104.24|43.0|1.0
36.38|-103.71|42.5|0.5
36.38|-103.18|43.0|1.0
36.38|-102.65|47.0|1.0
36.38|-102.13|47.0|1.0
36.38|-101.6|46.0|1.0
36.78|-124.86|nan|nan
36.78|-124.33|nan|nan
36.78|-123.8|nan|nan
36.78|-123.27|20.0|1.0
36.78|-122.74|20.5|0.5
36.78|-122.21|21.0|1.0
36.78|-121.68|21.0|1.0
36.78|-121.15|22.0|1.0
36.78|-120.63|29.0|1.0
36.78|-120.1|29.0|1.0
36.78|-119.57|28.0|1.0
36.78|-119.04|nan|nan
36.78|-118.51|nan|nan
36.78|-117.98|35.0|1.0
36.78|-117.45|33.0|1.0
36.78|-116.93|34.0|1.0
36.78|-116.4|36.0|1.0
36.78|-115.87|42.0|2.0
36.78|-115.34|31.0|1.0
36.78|-114.81|31.0|1.0
36.78|-114.28|31.0|1.0
36.78|-113.75|36.0|1.0
36.78|-113.23|42.0|1.0
36.78|-112.7|42.0|1.0
36.78|-112.17|48.0|1.0
36.78|-111.64|48.0|1.0
36.78|-111.11|46.0|1.0
36.78|-110.58|nan|nan
36.78|-110.05|49.0|1.0
36.78|-109.53|48.0|2.0
36.78|-109.0|41.0|1.0
36.78|-108.47|42.0|1.0
36.78|-107.94|45.0|2.0
36.78|-107.41|49.0|1.0
36.78|-106.88|48.0|1.0
36.78|-106.35|46.0|1.0
36.78|-105.83|41.0|2.0
36.78|-105.3|45.0|1.0
36.78|-104.77|45.0|1.0
36.78|-104.24|42.0|1.0
36.78|-103.71|43.0|1.0
36.78|-103.18|44.0|1.0
36.78|-102.65|47.0|1.0
36.78|-102.13|46.0|1.0
36.78|-101.6|45.0|1.0
37.19|-124.86|nan|nan
37.19|-124.33|nan|nan
37.19|-123.8|nan|nan
37.19|-123.27|19.0|1.0
37.19|-122.74|19.0|1.0
37.19|-122.21|20.0|1.0
37.19|-121.68|19.0|1.0
37.19|-121.15|13.0|1.0
37.19|-120.63|19.0|1.0
37.19|-120.1|18.0|1.0
37.19|-119.57|nan|nan
37.19|-119.04|nan|nan
37.19|-118.51|46.0|1.0
37.19|-117.98|37.0|1.0
37.19|-117.45|37.0|1.0
37.19|-116.93|37.0|2.0
37.19|-116.4|45.0|1.0
37.19|-115.87|44.0|1.0
37.19|-115.34|33.0|1.0
37.19|-114.81|32.0|1.0
37.19|-114.28|32.0|1.0
37.19|-113.75|37.0|1.0
37.19|-113.23|34.0|1.0
